Entity,Code,Date,Total confirmed deaths (deaths),Total confirmed cases (cases)
Europe,,9-Jan-20,0,0
Europe,,10-Jan-20,0,0
Europe,,11-Jan-20,0,0
Europe,,12-Jan-20,0,0
Europe,,13-Jan-20,0,0
Europe,,14-Jan-20,0,0
Europe,,15-Jan-20,0,0
Europe,,16-Jan-20,0,0
Europe,,17-Jan-20,0,0
Europe,,18-Jan-20,0,0
Europe,,19-Jan-20,0,0
Europe,,20-Jan-20,0,0
Europe,,21-Jan-20,0,0
Europe,,22-Jan-20,0,0
Europe,,23-Jan-20,0,0
Europe,,24-Jan-20,0,0
Europe,,25-Jan-20,0,3
Europe,,26-Jan-20,0,3
Europe,,27-Jan-20,0,3
Europe,,28-Jan-20,0,4
Europe,,29-Jan-20,0,8
Europe,,30-Jan-20,0,10
Europe,,31-Jan-20,0,17
Europe,,1-Feb-20,0,23
Europe,,2-Feb-20,0,24
Europe,,3-Feb-20,0,25
Europe,,4-Feb-20,0,28
Europe,,5-Feb-20,0,28
Europe,,6-Feb-20,0,28
Europe,,7-Feb-20,0,30
Europe,,8-Feb-20,0,36
Europe,,9-Feb-20,0,37
Europe,,10-Feb-20,0,38
Europe,,11-Feb-20,0,42
Europe,,12-Feb-20,0,44
Europe,,13-Feb-20,0,45
Europe,,14-Feb-20,0,45
Europe,,15-Feb-20,1,45
Europe,,16-Feb-20,1,45
Europe,,17-Feb-20,1,46
Europe,,18-Feb-20,1,46
Europe,,19-Feb-20,1,46
Europe,,20-Feb-20,1,46
Europe,,21-Feb-20,1,46
Europe,,22-Feb-20,1,60
Europe,,23-Feb-20,3,122
Europe,,24-Feb-20,3,179
Europe,,25-Feb-20,7,277
Europe,,26-Feb-20,12,382
Europe,,27-Feb-20,14,480
Europe,,28-Feb-20,19,819
Europe,,29-Feb-20,23,1120
Europe,,1-Mar-20,31,1524
Europe,,2-Mar-20,38,2203
Europe,,3-Mar-20,56,2701
Europe,,4-Mar-20,85,3361
Europe,,5-Mar-20,113,4283
Europe,,6-Mar-20,161,5669
Europe,,7-Mar-20,215,7522
Europe,,8-Mar-20,253,9473
Europe,,9-Mar-20,399,11975
Europe,,10-Mar-20,536,15346
Europe,,11-Mar-20,716,18032
Europe,,12-Mar-20,951,22897
Europe,,13-Mar-20,1201,29340
Europe,,14-Mar-20,1513,36155
Europe,,15-Mar-20,1744,44835
Europe,,16-Mar-20,2337,54328
Europe,,17-Mar-20,2764,63737
Europe,,18-Mar-20,3359,74161
Europe,,19-Mar-20,4089,86557
Europe,,20-Mar-20,4936,107491
Europe,,21-Mar-20,5988,126885
Europe,,22-Mar-20,7402,149253
Europe,,23-Mar-20,8711,168879
Europe,,24-Mar-20,10148,192389
Europe,,25-Mar-20,11932,215876
Europe,,26-Mar-20,13875,244778
Europe,,27-Mar-20,16009,279227
Europe,,28-Mar-20,18628,314217
Europe,,29-Mar-20,21292,348634
Europe,,30-Mar-20,23806,378385
Europe,,31-Mar-20,26506,407298
Europe,,1-Apr-20,29862,444541
Europe,,2-Apr-20,33311,480702
Europe,,3-Apr-20,36630,515383
Europe,,4-Apr-20,41739,553307
Europe,,5-Apr-20,45744,587850
Europe,,6-Apr-20,48689,618204
Europe,,7-Apr-20,51957,645273
Europe,,8-Apr-20,56819,674103
Europe,,9-Apr-20,60595,707774
Europe,,10-Apr-20,65180,743197
Europe,,11-Apr-20,69429,777239
North America,,31-Dec-19,0,0
North America,,1-Jan-20,0,0
North America,,2-Jan-20,0,0
North America,,3-Jan-20,0,0
North America,,4-Jan-20,0,0
North America,,5-Jan-20,0,0
North America,,6-Jan-20,0,0
North America,,7-Jan-20,0,0
North America,,8-Jan-20,0,0
North America,,9-Jan-20,0,0
North America,,10-Jan-20,0,0
North America,,11-Jan-20,0,0
North America,,12-Jan-20,0,0
North America,,13-Jan-20,0,0
North America,,14-Jan-20,0,0
North America,,15-Jan-20,0,0
North America,,16-Jan-20,0,0
North America,,17-Jan-20,0,0
North America,,18-Jan-20,0,0
North America,,19-Jan-20,0,0
North America,,20-Jan-20,0,0
North America,,21-Jan-20,0,1
North America,,22-Jan-20,0,1
North America,,23-Jan-20,0,1
North America,,24-Jan-20,0,1
North America,,25-Jan-20,0,2
North America,,26-Jan-20,0,3
North America,,27-Jan-20,0,6
North America,,28-Jan-20,0,7
North America,,29-Jan-20,0,8
North America,,30-Jan-20,0,8
North America,,31-Jan-20,0,9
North America,,1-Feb-20,0,11
North America,,2-Feb-20,0,12
North America,,3-Feb-20,0,15
North America,,4-Feb-20,0,15
North America,,5-Feb-20,0,16
North America,,6-Feb-20,0,17
North America,,7-Feb-20,0,19
North America,,8-Feb-20,0,19
North America,,9-Feb-20,0,19
North America,,10-Feb-20,0,19
North America,,11-Feb-20,0,20
North America,,12-Feb-20,0,20
North America,,13-Feb-20,0,21
North America,,14-Feb-20,0,22
North America,,15-Feb-20,0,23
North America,,16-Feb-20,0,23
North America,,17-Feb-20,0,23
North America,,18-Feb-20,0,23
North America,,19-Feb-20,0,23
North America,,20-Feb-20,0,23
North America,,21-Feb-20,0,25
North America,,22-Feb-20,0,44
North America,,23-Feb-20,0,44
North America,,24-Feb-20,0,44
North America,,25-Feb-20,0,64
North America,,26-Feb-20,0,64
North America,,27-Feb-20,0,71
North America,,28-Feb-20,0,74
North America,,29-Feb-20,0,84
North America,,1-Mar-20,1,93
North America,,2-Mar-20,2,119
North America,,3-Mar-20,6,137
North America,,4-Mar-20,9,162
North America,,5-Mar-20,11,199
North America,,6-Mar-20,12,285
North America,,7-Mar-20,14,398
North America,,8-Mar-20,17,499
North America,,9-Mar-20,21,631
North America,,10-Mar-20,27,854
North America,,11-Mar-20,30,1151
North America,,12-Mar-20,32,1475
North America,,13-Mar-20,42,1889
North America,,14-Mar-20,49,2471
North America,,15-Mar-20,59,3343
North America,,16-Mar-20,72,4254
North America,,17-Mar-20,91,5330
North America,,18-Mar-20,118,7288
North America,,19-Mar-20,163,10489
North America,,20-Mar-20,164,15605
North America,,21-Mar-20,282,21267
North America,,22-Mar-20,371,28954
North America,,23-Mar-20,504,37805
North America,,24-Mar-20,632,49453
North America,,25-Mar-20,851,58816
North America,,26-Mar-20,1114,74578
North America,,27-Mar-20,1372,92418
North America,,28-Mar-20,1820,112263
North America,,29-Mar-20,2329,133501
North America,,30-Mar-20,2674,153275
North America,,31-Mar-20,3382,176390
North America,,1-Apr-20,4320,203092
North America,,2-Apr-20,5422,231942
North America,,3-Apr-20,6391,262944
North America,,4-Apr-20,7572,297313
North America,,5-Apr-20,9005,333532
North America,,6-Apr-20,10241,361291
North America,,7-Apr-20,11670,393633
North America,,8-Apr-20,13675,426275
North America,,9-Apr-20,15706,462023
North America,,10-Apr-20,17705,498418
North America,,11-Apr-20,19917,536375
South America,,31-Dec-19,0,0
South America,,1-Jan-20,0,0
South America,,2-Jan-20,0,0
South America,,3-Jan-20,0,0
South America,,4-Jan-20,0,0
South America,,5-Jan-20,0,0
South America,,6-Jan-20,0,0
South America,,7-Jan-20,0,0
South America,,8-Jan-20,0,0
South America,,9-Jan-20,0,0
South America,,10-Jan-20,0,0
South America,,11-Jan-20,0,0
South America,,12-Jan-20,0,0
South America,,13-Jan-20,0,0
South America,,14-Jan-20,0,0
South America,,15-Jan-20,0,0
South America,,16-Jan-20,0,0
South America,,17-Jan-20,0,0
South America,,18-Jan-20,0,0
South America,,19-Jan-20,0,0
South America,,20-Jan-20,0,0
South America,,21-Jan-20,0,0
South America,,22-Jan-20,0,0
South America,,23-Jan-20,0,0
South America,,24-Jan-20,0,0
South America,,25-Jan-20,0,0
South America,,26-Jan-20,0,0
South America,,27-Jan-20,0,0
South America,,28-Jan-20,0,0
South America,,29-Jan-20,0,0
South America,,30-Jan-20,0,0
South America,,31-Jan-20,0,0
South America,,1-Feb-20,0,0
South America,,2-Feb-20,0,0
South America,,3-Feb-20,0,0
South America,,4-Feb-20,0,0
South America,,5-Feb-20,0,0
South America,,6-Feb-20,0,0
South America,,7-Feb-20,0,0
South America,,8-Feb-20,0,0
South America,,9-Feb-20,0,0
South America,,10-Feb-20,0,0
South America,,11-Feb-20,0,0
South America,,12-Feb-20,0,0
South America,,13-Feb-20,0,0
South America,,14-Feb-20,0,0
South America,,15-Feb-20,0,0
South America,,16-Feb-20,0,0
South America,,17-Feb-20,0,0
South America,,18-Feb-20,0,0
South America,,19-Feb-20,0,0
South America,,20-Feb-20,0,0
South America,,21-Feb-20,0,0
South America,,22-Feb-20,0,0
South America,,23-Feb-20,0,0
South America,,24-Feb-20,0,0
South America,,25-Feb-20,0,0
South America,,26-Feb-20,0,1
South America,,27-Feb-20,0,1
South America,,28-Feb-20,0,1
South America,,29-Feb-20,0,1
South America,,1-Mar-20,0,3
South America,,2-Mar-20,0,8
South America,,3-Mar-20,0,9
South America,,4-Mar-20,0,11
South America,,5-Mar-20,0,17
South America,,6-Mar-20,0,27
South America,,7-Mar-20,0,41
South America,,8-Mar-20,1,43
South America,,9-Mar-20,1,70
South America,,10-Mar-20,1,78
South America,,11-Mar-20,1,106
South America,,12-Mar-20,1,144
South America,,13-Mar-20,2,199
South America,,14-Mar-20,4,270
South America,,15-Mar-20,5,367
South America,,16-Mar-20,5,530
South America,,17-Mar-20,5,743
South America,,18-Mar-20,6,975
South America,,19-Mar-20,10,1319
South America,,20-Mar-20,15,1813
South America,,21-Mar-20,26,2532
South America,,22-Mar-20,37,3173
South America,,23-Mar-20,53,4084
South America,,24-Mar-20,68,4932
South America,,25-Mar-20,95,5748
South America,,26-Mar-20,113,6732
South America,,27-Mar-20,147,7755
South America,,28-Mar-20,177,9018
South America,,29-Mar-20,214,10251
South America,,30-Mar-20,258,11263
South America,,31-Mar-20,305,12351
South America,,1-Apr-20,378,14373
South America,,2-Apr-20,492,16848
South America,,3-Apr-20,568,18936
South America,,4-Apr-20,674,21087
South America,,5-Apr-20,807,23347
South America,,6-Apr-20,896,25458
South America,,7-Apr-20,1008,27310
South America,,8-Apr-20,1187,30240
South America,,9-Apr-20,1376,35177
South America,,10-Apr-20,1604,39260
South America,,11-Apr-20,1798,44778
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
